(8, 0.5, 2937)
(6, 1.9, 2992)
(12, 0.3, 2680)
(7, 0.9, 3246)
(19, 0.4, 2731)
(18, 1.6, 2874)
(19, 1.5, 3075)
(16, 1.6, 2813)
(10, 1.3, 2841)
(7, 0.7, 2864)
(19, 0.4, 3083)
(4, 1.6, 3344)
(16, 0.1, 3006)
(17, 1.3, 2832)
(4, 1.4, 3081)
(18, 0.1, 2911)
(12, 1.5, 2997)
(11, 0.9, 3176)
(7, 0.8, 2888)
(14, 1.9, 3001)
(4, 0.4, 2868)
(4, 1.1, 2977)
(4, 0.1, 3038)
(4, 0.1, 2852)
(16, 0.1, 2949)
(10, 1.8, 2965)
(17, 0.1, 2904)
(4, 1.3, 2822)
(11, 0.7, 2787)
(18, 1.4, 2977)
(19, 0.1, 2960)
(11, 1.7, 3335)
(15, 0.8, 2635)
(11, 1.5, 3017)
(11, 1.6, 3056)
(18, 1.8, 3204)
(13, 0.8, 3075)
(4, 1.2, 2873)
(17, 0.8, 3000)
(7, 0.8, 3081)
(9, 1.5, 2953)
(13, 1.0, 3116)
(7, 0.1, 3260)
(14, 1.4, 2720)
(17, 1.8, 3220)
(10, 0.4, 2950)
(13, 0.6, 3092)
(13, 1.0, 3007)
(19, 0.4, 2876)
(16, 1.1, 3013)
(5, 1.7, 3150)
(19, 1.4, 2943)
(11, 1.7, 2944)
(16, 0.7, 2989)
(17, 1.0, 3065)
(9, 1.0, 3192)
(15, 1.9, 2905)
(15, 1.6, 3076)
(6, 1.7, 3032)
(18, 1.3, 2721)
(7, 1.9, 2937)
(9, 0.2, 2980)
(16, 1.6, 2994)
(15, 0.8, 3049)
(19, 1.3, 2694)
(4, 1.4, 3007)
(19, 0.6, 2898)
(5, 1.2, 2784)
(13, 1.8, 3079)
(16, 1.2, 3110)
(9, 0.3, 2902)
(9, 1.5, 3126)
(11, 1.7, 2943)
(4, 0.4, 3010)
(10, 0.6, 2835)
(11, 1.7, 3238)
(16, 1.3, 2601)
(15, 1.2, 2986)
(15, 1.6, 3104)
(18, 0.1, 2695)
(12, 1.6, 2972)
(4, 0.2, 2988)
(16, 1.0, 3124)
(8, 1.9, 3187)
(10, 1.9, 2939)
(17, 1.3, 2792)
(5, 0.6, 3205)
(19, 0.6, 3183)
(15, 1.7, 2931)
(10, 0.8, 3053)
(17, 0.1, 3057)
(19, 0.7, 3085)
(15, 1.8, 3031)
(17, 1.8, 3211)
(15, 0.8, 2739)
(4, 1.3, 3156)
(14, 1.7, 3057)
(18, 1.2, 2967)
(4, 1.9, 3176)
(11, 1.2, 2648)
